,title,related_genres,genre
117,Orion and the Dark,"[16, 10751, 35, 14]",1139829
118,Madagascar,"[10751, 16, 12, 35]",953
119,The Hangover,[35],18785
120,Babylon,"[18, 35]",615777
121,Lift,"[28, 35, 80]",955916
122,Orion and the Dark,"[16, 10751, 35, 14]",1139829
123,Cars 2,"[16, 10751, 12, 35]",49013
124,Am I OK?,"[35, 10749, 18]",641934
125,Grown Ups,[35],38365
126,Argylle,"[28, 12, 35]",848538
127,The Suicide Squad,"[28, 35, 12]",436969
128,Noah's Ark,"[16, 10402, 35, 14, 10751]",1192209
129,Odio el verano,[35],1087421
130,Crazy Desire,"[10749, 35, 18]",116236
131,A Haunted House 2,"[35, 27]",184345
132,Skal: Fight for Survival,"[28, 27, 35, 53]",1211483
133,The Hangover,[35],18785
134,Fast & Furious Presents: Hobbs & Shaw,"[28, 12, 35]",384018
135,Teenage Mutant Ninja Turtles: Mutant Mayhem,"[16, 35, 28, 878]",614930
136,The First Slam Dunk,"[16, 35, 18]",783675
137,Cars 3,"[10751, 16, 12, 35]",260514
138,Madagascar,"[10751, 16, 12, 35]",953
139,The Palace,"[35, 18]",824016
140,Gifted,"[18, 35]",400928
141,A Family Affair,"[10749, 35]",987686
142,The Hawk,"[28, 12, 35]",1197406
143,Deadpool: No Good Deed,"[28, 35, 80]",558144
144,Garfield,"[16, 35, 10751]",8920
145,Brave,"[16, 12, 35, 10751, 28, 14]",62177
146,Once Upon a Deadpool,"[35, 28, 12]",567604
147,The Parent Trap,"[35, 10751, 10749]",9820
148,Toy Story 4,"[10751, 12, 16, 35, 14]",301528
149,Find Me Falling,"[10749, 35, 10402]",1255350
150,The Proposal,"[35, 10749, 18]",18240
151,How to Train Your Dragon 2,"[14, 28, 12, 16, 35, 10751]",82702
152,Luca,"[16, 35, 14, 12, 10751]",508943
153,Cruella,"[35, 80, 10751, 12]",337404
154,Outsource,"[28, 35]",942047
155,Leo,"[16, 35, 10751]",1075794
156,The Truman Show,"[35, 18]",37165
157,Red One,"[12, 35, 14]",845781
158,Back to the Future,"[12, 35, 878]",105
159,Golden Kamuy,"[28, 12, 35]",1171462
160,Chicken Run: Dawn of the Nugget,"[10751, 16, 12, 35]",520758
161,Beverly Hills Cop,"[35, 80, 28]",90
162,Miller's Girl,"[53, 35, 18]",1026436
163,Free Guy,"[35, 12, 878]",550988
164,The Devil Wears Prada,"[18, 35]",350
165,The Job Whisperer,"[35, 18]",1239083
166,Virgin Territory,"[12, 28, 35, 10749]",14324
167,The SpongeBob Movie: Sponge on the Run,"[10751, 16, 14, 12, 35]",400160
168,The King's Man,"[28, 35, 12, 53]",476669
169,Kingsman: The Secret Service,"[80, 35, 28, 12]",207703
170,3 Days Max,[35],967582
171,Old School,[35],11635
172,A Little Something Extra,[35],1152014
173,Scouts Guide to the Zombie Apocalypse,"[35, 27]",273477
174,(500) Days of Summer,"[35, 18, 10749]",19913
175,The SpongeBob SquarePants Movie,"[10751, 16, 35, 14, 12]",11836
176,Luck,"[16, 12, 35, 14]",585511
177,Girls Unbutton,"[35, 10749]",68428
178,The Boss Baby: Family Business,"[16, 35, 12, 10751]",459151
179,Penguins of Madagascar,"[10751, 16, 12, 35]",270946
180,Upgraded,"[10749, 35]",1014590
181,Teenage Mutant Ninja Turtles,"[878, 28, 12, 35]",98566
182,Ghosted,"[28, 35, 10749]",868759
183,Pretty Woman,"[10749, 35]",114
184,Sausage Party,"[12, 16, 35, 14]",223702
185,Yolo,"[18, 35, 28]",1229349
186,The Thundermans Return,"[10751, 878, 28, 35]",1094556
187,Mother of the Bride,"[10749, 35]",1093231
188,Through My Window,"[10749, 18, 35]",818647
189,One Hundred and One Dalmatians,"[12, 16, 35, 10751]",12230
190,Freelance,"[28, 35]",897087
191,Greedy People,"[35, 9648, 80]",974250
192,"Ruby Gillman, Teenage Kraken","[16, 10751, 14, 35]",1040148
193,Despicable Me 3,"[28, 16, 35, 10751, 12]",324852
194,How to Lose a Guy in 10 Days,"[35, 10749]",9919
195,Sing,"[16, 35, 10751, 10402]",335797
196,Cars,"[16, 12, 35, 10751]",920
197,Kung Fu Panda 3,"[28, 12, 16, 35, 10751]",140300
198,American Pie,"[35, 10749]",2105
199,Carl's Date,"[16, 12, 10751, 35]",1076364
200,Robot Dreams,"[16, 18, 35, 878]",838240
201,The Croods: A New Age,"[16, 10751, 12, 14, 35]",529203
202,The Addams Family 2,"[10751, 16, 35, 14, 12]",639721
203,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"[35, 80]",10607
204,Just Go with It,"[35, 10749]",50546
205,Ice Age: Dawn of the Dinosaurs,"[16, 35, 10751, 12]",8355
206,Blended,"[35, 10749]",232672
207,The Lost City,"[28, 12, 35]",752623
208,Baby Shark's Big Movie,"[16, 10751, 12, 35]",1008437
209,Kung Fu Panda 2,"[16, 10751, 35]",49444
210,Home Alone 2: Lost in New York,"[35, 10751, 12]",772
211,The School for Good and Evil,"[14, 35, 12, 18]",779782
212,The Mask,"[10749, 35, 80, 14]",854
213,Katt Williams: Woke Foke,"[35, 99, 10770]",1270880
214,Project X,[35],57214
215,Pixels,"[28, 35, 878]",257344
216,The Road to El Dorado,"[10751, 12, 16, 35, 14]",10501
217,We're the Millers,"[35, 80]",138832
218,Once Upon a Time... in Hollywood,"[35, 18, 53]",466272
