,job_title,company,job_app_link
41,"
            
        Front-End Engineer
      
          ","

            Amazon Web Services (AWS)
          
",https://www.linkedin.com/company/amazon-web-services?trk=public_jobs_jserp-result_job-search-card-subtitle
42,"
            
        Full Stack Developer
      
          ","

            Vivid Mortgages Inc
          
",https://www.linkedin.com/company/vivid-mortgages-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
43,"
            
        Junior Frontend Engineer
      
          ","

            YourStake
          
",https://www.linkedin.com/company/yourstake?trk=public_jobs_jserp-result_job-search-card-subtitle
44,"
            
        Jr Developer
      
          ","

            PENNYCODER
          
",https://www.linkedin.com/company/pennycoder?trk=public_jobs_jserp-result_job-search-card-subtitle
45,"
            
        Software Engineer, Enterprise
      
          ","

            Notion
          
",https://www.linkedin.com/company/notionhq?trk=public_jobs_jserp-result_job-search-card-subtitle
46,"
            
        Software Engineer: Full Stack
      
          ","

            Tarsal
          
",https://www.linkedin.com/company/tarsal?trk=public_jobs_jserp-result_job-search-card-subtitle
47,"
            
        Full-Stack Software Engineer
      
          ","

            Ekho (YC S22)
          
",https://www.linkedin.com/company/ekho-dealer?trk=public_jobs_jserp-result_job-search-card-subtitle
48,"
            
        Software Engineer
      
          ","

            Middesk
          
",https://www.linkedin.com/company/middesk?trk=public_jobs_jserp-result_job-search-card-subtitle
49,"
            
        Internship - Developer
      
          ","

            Virtu Financial
          
",https://www.linkedin.com/company/virtu-financial?trk=public_jobs_jserp-result_job-search-card-subtitle
50,"
            
        Software Engineer, New Grad
      
          ","

            Palantir Technologies
          
",https://www.linkedin.com/company/palantir-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle
51,"
            
        Software Developer(Entry/Junior Level)
      
          ","

            SynergisticIT
          
",https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle
52,"
            
        Software Engineer
      
          ","

            Warp
          
",https://www.linkedin.com/company/warpdotdev?trk=public_jobs_jserp-result_job-search-card-subtitle
53,"
            
        Front-End Software Engineer (Remote)
      
          ","

            Bask Health
          
",https://www.linkedin.com/company/bask-health?trk=public_jobs_jserp-result_job-search-card-subtitle
54,"
            
        Remote Software Developer - Junior
      
          ","

            SynergisticIT
          
",https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle
55,"
            
        Full Stack Engineer, Atlas
      
          ","

            Stripe
          
",https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle
56,"
            
        Backend Engineer (Go)
      
          ","

            Porter
          
",https://www.linkedin.com/company/porterrun?trk=public_jobs_jserp-result_job-search-card-subtitle
57,"
            
        Software Engineer (Front End)
      
          ","

            Auxilius
          
",https://www.linkedin.com/company/auxilius?trk=public_jobs_jserp-result_job-search-card-subtitle
58,"
            
        Fullstack Developer (Node.JS & React)
      
          ","

            MindPal
          
",https://www.linkedin.com/company/mindpal-co?trk=public_jobs_jserp-result_job-search-card-subtitle
59,"
            
        Fullstack Developer (Node.JS & React)
      
          ","

            MindPal
          
",https://www.linkedin.com/company/mindpal-co?trk=public_jobs_jserp-result_job-search-card-subtitle
